@RELATION Census

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 REAL
@ATTRIBUTE attribute_14 {0,1}

@DATA
29,1,2.7147e+05,7,11,3,6,4,1,0,0,0,43,1,1
25,1,32275,2,10,1,5,1,5,1,0,0,40,1,1
18,1,2.2696e+05,4,9,3,3,2,1,1,0,0,30,42,1
47,1,51835,5,15,1,6,1,1,1,0,1902,60,7,0
50,4,2.5159e+05,1,13,2,5,4,1,0,0,0,55,1,0
47,3,1.0983e+05,4,9,2,5,4,1,0,0,0,60,1,1
43,1,2.3799e+05,2,10,1,1,3,1,0,0,0,40,1,0
46,1,2.1667e+05,15,3,1,8,3,1,0,0,0,40,13,1
35,1,56352,7,11,1,3,3,1,0,0,0,40,4,1
41,1,1.4737e+05,4,9,1,9,3,1,0,0,0,48,1,1
30,1,1.8815e+05,4,9,1,8,3,1,0,5013,0,40,1,1
30,1,59496,1,13,1,4,3,1,0,2407,0,40,1,1
32,9,2.9394e+05,9,4,6,15,4,1,0,0,0,40,42,1
48,1,1.4964e+05,4,9,1,11,3,1,0,0,0,40,1,1
42,1,1.1663e+05,14,16,1,6,3,1,0,0,0,45,1,0
29,1,1.056e+05,2,10,2,1,4,1,0,0,0,58,1,1
36,1,1.5554e+05,4,9,1,2,3,1,0,0,0,40,1,1
28,1,1.8318e+05,2,10,2,9,4,1,1,0,0,40,1,1
53,1,1.6985e+05,4,9,1,9,1,1,1,0,0,40,1,0
49,3,1.9168e+05,2,10,1,5,3,1,0,0,0,50,1,0
25,9,2.0068e+05,2,10,3,15,2,1,0,0,0,40,1,1
19,1,1.0151e+05,2,10,3,6,2,1,0,0,0,32,1,1
31,1,3.0997e+05,1,13,4,4,2,2,1,0,0,40,1,1
29,2,1.623e+05,1,13,1,4,3,1,0,0,0,70,1,0
23,1,2.1168e+05,2,10,3,8,4,1,0,0,0,40,1,1
79,1,1.2474e+05,2,10,1,6,6,1,0,0,0,20,1,1
27,1,2.1392e+05,4,9,3,3,2,1,0,0,0,40,13,1
40,1,32214,6,12,1,9,3,1,0,0,0,40,1,1
67,9,2.1276e+05,13,6,1,15,3,1,0,0,0,2,1,1
18,1,3.0963e+05,3,7,3,3,2,1,1,0,0,22,1,1
31,5,1.2593e+05,9,4,1,10,3,1,0,0,0,40,1,1
18,1,4.4684e+05,4,9,3,4,4,1,0,0,0,30,1,1
52,1,2.7652e+05,1,13,1,3,3,1,0,0,0,40,32,1
46,1,51618,4,9,1,3,1,1,1,0,0,40,1,1
59,1,1.5994e+05,4,9,1,4,3,1,0,0,0,48,1,1
44,1,3.4359e+05,4,9,2,2,4,1,1,14344,0,40,1,0
53,1,3.4625e+05,4,9,2,4,2,1,1,0,0,35,1,1
49,5,2.6823e+05,4,9,1,13,3,1,0,0,0,40,1,0
33,1,2.0205e+05,11,14,1,6,3,1,0,0,0,50,1,1
30,1,54334,8,5,3,4,4,1,0,0,0,40,1,1
43,4,4.1087e+05,14,16,3,6,4,1,1,0,0,50,1,0
57,1,2.4998e+05,7,11,1,6,3,1,0,0,0,40,1,1
37,1,2.8673e+05,2,10,2,2,5,1,1,0,0,40,1,1
28,1,2.1256e+05,2,10,2,8,5,2,1,0,0,25,1,1
30,1,1.1775e+05,4,9,1,4,1,3,1,0,1573,35,42,1
34,5,2.263e+05,1,13,1,13,3,1,0,0,0,40,1,0
29,5,1.1559e+05,2,10,3,7,4,1,0,0,0,50,1,1
48,2,1.9128e+05,14,16,1,6,3,1,0,0,1902,60,1,0
37,1,2.0268e+05,2,10,1,4,3,1,0,0,0,48,1,0
48,1,1.711e+05,6,12,2,5,5,1,1,0,0,40,3,1
32,4,2.4941e+05,4,9,3,3,2,2,0,0,0,40,1,1
76,1,1.2419e+05,11,14,1,5,3,1,0,0,0,40,1,0
44,1,1.9828e+05,1,13,1,5,3,1,0,15024,0,60,1,0
47,2,1.4912e+05,11,14,3,6,4,1,1,0,0,50,1,1
20,1,1.883e+05,2,10,3,1,2,1,1,0,0,40,1,1
29,1,1.0343e+05,4,9,3,2,4,1,0,0,0,40,1,1
32,3,3.1766e+05,4,9,1,2,3,1,0,7688,0,40,1,0
17,9,3.0487e+05,13,6,3,15,2,1,1,34095,0,32,1,1
30,1,1.949e+05,3,7,3,7,2,1,0,0,0,40,1,1
31,5,1.8927e+05,4,9,3,9,4,1,1,0,0,40,1,1
42,1,1.2469e+05,4,9,1,7,3,1,0,0,0,40,1,1
24,1,4.3238e+05,1,13,3,4,6,1,0,0,0,40,1,1
38,1,65324,5,15,1,6,3,1,0,0,0,40,1,0
56,2,3.3561e+05,4,9,1,3,3,1,0,0,1887,50,5,0
28,1,3.7787e+05,2,10,1,4,1,1,1,4064,0,25,1,1
36,1,1.0286e+05,4,9,3,8,2,1,1,0,0,40,1,1
53,1,95647,8,5,1,7,3,1,0,0,0,50,1,1
56,3,3.0309e+05,2,10,1,4,3,1,0,0,0,50,1,1
49,5,1.9737e+05,7,11,1,2,3,2,0,0,0,40,1,0
55,1,2.4755e+05,2,10,1,4,3,1,0,0,0,56,1,1
22,1,1.0263e+05,4,9,3,2,4,1,0,0,0,41,1,1
21,1,1.9992e+05,2,10,3,3,2,1,1,0,0,40,1,1
40,1,1.1885e+05,1,13,1,5,3,1,0,0,0,60,1,1
30,1,77143,1,13,3,5,2,2,0,0,0,40,6,1
29,6,2.6799e+05,1,13,1,6,3,1,0,0,0,50,1,0
19,1,3.0161e+05,2,10,3,3,2,2,0,0,0,35,1,1
47,1,2.8783e+05,1,13,1,5,1,1,1,0,0,40,1,0
20,1,1.117e+05,2,10,3,9,2,1,1,0,1719,28,1,1
31,1,1.1494e+05,6,12,1,9,3,1,0,0,0,40,1,0
35,9,1.2931e+05,4,9,1,15,3,1,0,0,0,40,1,1
39,1,3.6574e+05,2,10,2,2,4,1,0,0,0,40,1,1
28,1,69621,6,12,3,4,4,1,1,0,0,60,1,1
24,1,43323,4,9,3,3,4,1,1,0,1762,40,1,1
38,2,1.2099e+05,4,9,1,2,3,1,0,4386,0,35,1,1
37,1,2.542e+05,1,13,1,4,3,1,0,0,0,50,1,1
46,1,1.462e+05,6,12,2,1,4,2,1,0,0,36,1,1
38,4,1.2593e+05,11,14,1,6,3,1,0,0,0,40,33,0
43,2,56920,4,9,1,2,3,1,0,0,0,60,1,1
27,1,1.6313e+05,7,11,1,9,1,1,1,0,0,35,1,1
20,1,34310,2,10,3,4,2,1,0,0,0,20,1,1
49,1,81973,2,10,1,2,3,3,0,0,0,40,1,0
61,3,66614,4,9,1,2,3,1,0,0,0,40,1,1
27,1,2.3278e+05,2,10,3,4,2,1,1,0,0,40,1,1
19,1,3.1687e+05,2,10,3,3,2,1,0,0,0,30,13,1
45,1,1.9658e+05,7,11,3,6,4,1,1,0,1564,40,1,0
70,1,1.0538e+05,2,10,3,1,6,1,0,0,0,40,1,1
31,1,1.8581e+05,4,9,3,11,5,2,1,0,0,30,1,1
22,1,1.7537e+05,2,10,1,3,3,1,0,0,0,24,1,1
36,1,1.0829e+05,4,9,5,3,5,1,1,0,0,24,1,1
64,1,1.8123e+05,3,7,1,2,3,1,0,0,2179,40,1,1
43,9,1.7466e+05,2,10,2,15,4,1,1,0,0,40,1,1
47,5,1.8601e+05,2,10,2,9,5,1,1,0,0,38,13,1
34,1,1.9818e+05,4,9,3,9,4,1,1,0,0,40,1,1
33,1,1.63e+05,1,13,3,5,6,3,1,0,0,40,8,1
21,1,2.9616e+05,4,9,3,2,2,1,0,0,0,35,1,1
52,9,2.529e+05,4,9,2,15,4,1,0,0,0,45,1,0
48,1,1.8772e+05,4,9,1,2,3,1,0,0,0,46,1,1
23,1,2.1454e+05,1,13,3,7,4,1,0,0,0,40,1,1
71,2,4.9422e+05,2,10,4,4,5,2,0,0,1816,2,1,1
29,1,1.9154e+05,4,9,2,2,4,1,0,0,0,60,1,1
42,1,2.2846e+05,1,13,4,3,6,2,0,0,0,50,1,1
68,9,38317,12,2,2,15,4,1,1,0,0,20,1,1
25,1,2.5275e+05,4,9,3,3,5,1,1,0,0,40,1,1
44,3,78374,11,14,2,5,5,3,1,0,0,40,1,1
28,1,88419,4,9,3,5,4,3,1,0,0,40,3,1
45,2,2.0108e+05,11,14,1,4,3,1,0,0,0,40,1,0
36,1,2.0716e+05,2,10,2,3,5,1,1,0,0,40,13,1
39,4,2.3549e+05,6,12,3,5,4,1,0,0,0,42,1,1
46,6,1.0263e+05,11,14,5,13,5,1,0,0,0,40,1,1
18,1,25828,3,7,3,7,2,1,0,0,0,16,1,1
66,5,54826,7,11,5,6,4,1,1,0,0,20,1,1
27,1,1.2495e+05,4,9,3,3,4,1,0,0,1980,40,1,1
28,6,1.7533e+05,4,9,1,13,3,1,0,0,0,40,1,1
51,1,96062,2,10,1,4,3,1,0,0,1977,40,1,0
27,1,4.2803e+05,1,13,3,2,4,1,0,0,0,50,1,1
28,6,1.4962e+05,1,13,1,6,3,1,0,0,0,40,1,0
27,1,2.5381e+05,4,9,6,4,5,1,1,0,0,25,1,1
21,1,3.1296e+05,4,9,3,2,2,2,0,0,0,40,1,1
34,1,4.8378e+05,4,9,3,7,4,2,0,0,0,40,1,1
18,1,1.8393e+05,4,9,3,3,2,1,0,0,0,12,1,1
33,1,37274,1,13,1,6,3,1,0,0,0,65,1,1
44,5,1.8134e+05,2,10,1,5,3,2,0,0,0,38,1,0
43,1,1.1458e+05,2,10,2,9,4,1,1,0,0,40,1,1
30,1,6.3374e+05,2,10,3,2,4,2,0,0,0,45,1,1
40,1,2.8637e+05,9,4,1,8,3,1,0,0,0,40,13,0
37,4,29054,2,10,1,9,3,1,0,0,0,42,1,0
34,1,3.0403e+05,4,9,1,9,3,2,0,0,0,40,1,1
41,2,1.4313e+05,1,13,2,5,4,1,1,0,0,40,1,1
53,9,1.3511e+05,1,13,2,15,4,1,1,0,0,50,1,1
31,1,99928,11,14,1,6,1,1,1,0,0,50,1,1
58,6,1.0957e+05,14,16,1,6,3,1,0,0,0,1,1,0
38,1,1.5522e+05,2,10,2,8,4,2,1,0,0,28,1,1
24,1,1.5957e+05,2,10,1,8,3,1,0,0,0,40,1,1
41,5,5.2391e+05,1,13,1,2,3,2,0,0,0,40,1,1
47,1,1.2094e+05,2,10,1,1,3,1,0,0,0,45,1,1
41,4,1.3076e+05,1,13,1,1,3,1,0,0,0,24,1,1
23,1,1.9739e+05,15,3,1,11,6,1,0,0,0,40,13,1
36,1,99374,2,10,2,2,4,1,0,0,0,40,1,1
40,4,56795,11,14,3,5,4,1,1,14084,0,55,1,0
35,1,1.3899e+05,11,14,1,6,6,1,0,7298,0,40,1,0
24,2,32921,4,9,3,4,4,1,0,0,0,40,1,1
26,1,3.9732e+05,11,14,3,6,4,1,1,0,1876,40,1,1
19,9,1.7065e+05,4,9,3,15,2,1,0,0,0,40,9,1
51,1,2.5932e+05,1,13,1,5,3,1,0,0,0,50,1,0
42,5,2.5482e+05,2,10,3,6,4,1,1,0,1340,40,1,1
37,6,48211,4,9,2,9,5,1,1,0,0,35,1,1
18,1,1.4016e+05,3,7,3,4,2,1,1,0,0,40,1,1
36,1,1.2876e+05,1,13,1,3,3,2,0,7298,0,36,1,0
35,1,36270,4,9,2,2,4,1,0,0,0,60,1,1
58,3,2.1056e+05,4,9,1,4,1,1,1,15024,0,35,1,0
17,1,65368,3,7,3,4,2,1,1,0,0,12,1,1
44,5,1.6094e+05,4,9,1,11,3,2,0,0,0,40,1,1
37,1,2.0836e+05,4,9,1,2,3,1,0,0,0,40,1,0
35,1,1.5379e+05,2,10,3,4,4,4,1,0,0,40,1,1
60,1,85815,4,9,1,2,3,3,0,0,0,40,1,1
54,3,1.2542e+05,9,4,1,8,3,1,0,0,0,40,1,0
37,1,6.3591e+05,1,13,3,5,4,2,0,0,0,60,1,0
50,1,3.1332e+05,6,12,2,4,4,1,1,0,0,40,1,1
38,1,1.8261e+05,1,13,1,4,3,1,0,0,0,50,10,1
45,1,1.0943e+05,1,13,1,6,3,1,0,0,0,55,1,1
25,1,2.55e+05,13,6,3,2,4,1,0,0,0,40,1,1
31,1,1.9786e+05,2,10,1,7,3,1,0,0,0,40,1,1
64,9,1.8766e+05,12,2,2,15,4,1,0,0,0,40,1,1
90,1,51744,4,9,3,3,4,2,0,0,2206,40,1,1
54,1,1.7668e+05,4,9,1,9,3,2,0,0,0,20,1,1
53,5,1.4036e+05,16,1,3,8,4,1,1,0,0,35,1,1
18,1,2.4331e+05,4,9,3,4,2,1,1,0,0,40,1,1
60,9,24215,13,6,2,15,4,4,1,0,0,10,1,1
66,2,1.6769e+05,4,9,1,10,3,1,0,1409,0,50,1,1
75,1,3.1421e+05,7,11,5,9,4,1,1,0,0,20,41,1
65,1,1.768e+05,4,9,2,9,4,1,1,0,0,40,1,1
35,1,5.3858e+05,3,7,4,11,4,2,0,3674,0,40,1,1
41,1,1.3041e+05,4,9,2,4,5,2,1,0,0,38,1,1
25,1,1.5973e+05,2,10,3,9,4,1,0,0,0,42,1,1
33,1,1.1098e+05,2,10,2,2,6,5,1,0,0,40,1,1
28,1,76714,5,15,3,6,4,1,0,0,0,55,1,0
59,6,2.687e+05,4,9,1,3,3,1,0,0,0,40,1,1
40,6,1.7053e+05,2,10,3,9,4,1,1,0,0,38,1,1
41,1,1.8014e+05,1,13,1,5,3,1,0,0,0,50,33,0
38,5,1.1508e+05,11,14,1,5,3,1,0,0,0,70,1,0
23,1,1.1546e+05,4,9,3,11,2,1,0,0,0,40,1,1
40,1,3.4789e+05,1,13,1,6,3,1,0,0,0,40,1,0
41,2,1.96e+05,4,9,1,3,1,1,1,0,0,20,1,1
24,6,2.7391e+05,6,12,1,13,3,1,0,0,0,50,1,1
20,9,1.1916e+05,2,10,3,15,2,1,0,0,0,20,1,1
38,1,1.7949e+05,2,10,2,2,4,1,0,0,1741,40,1,1
56,1,2.0358e+05,4,9,1,9,3,1,0,0,0,35,42,1
58,1,2.366e+05,4,9,1,9,3,1,0,0,0,45,1,0
32,1,1.8392e+05,4,9,3,3,4,1,1,0,0,34,1,1
40,1,2.0758e+05,6,12,1,1,3,1,0,0,1977,60,1,0
45,1,1.5314e+05,4,9,1,9,3,1,0,0,0,40,42,1
41,1,1.1276e+05,5,15,1,6,1,1,1,0,0,40,1,0
42,1,3.9078e+05,1,13,1,9,1,2,1,0,0,40,1,1
59,5,1.7133e+05,13,6,5,3,5,2,1,0,0,30,1,1
19,5,27382,2,10,3,9,2,1,0,0,0,40,1,1
58,1,2.5901e+05,2,10,3,11,4,1,0,0,0,20,1,1
42,2,3.0304e+05,4,9,1,10,3,3,0,0,0,40,2,0
20,1,1.1779e+05,4,9,3,3,2,1,1,0,0,40,1,1
32,1,1.7258e+05,4,9,4,3,4,1,1,0,0,30,1,1
45,1,1.8767e+05,7,11,5,5,4,1,1,0,0,45,1,1
50,1,2.0452e+05,9,4,2,2,4,1,0,0,0,40,1,1
36,1,1.5004e+05,1,13,2,6,2,1,1,0,0,40,1,1
45,1,98092,4,9,1,4,3,1,0,0,0,60,1,1
17,1,2.4592e+05,3,7,3,3,2,1,0,0,0,12,1,1
59,1,1.4601e+05,2,10,1,4,3,1,0,4064,0,40,1,1
26,1,3.7832e+05,3,7,1,2,3,1,0,0,0,40,1,1
37,3,2.573e+05,2,10,1,5,3,3,0,0,0,75,19,0
19,9,2.1896e+05,2,10,3,15,2,1,0,0,0,24,5,1
64,1,21174,4,9,1,5,3,1,0,0,0,40,1,0
33,1,1.8548e+05,1,13,3,6,4,1,1,0,0,45,1,1
33,1,2.2221e+05,4,9,1,2,1,1,1,0,0,40,1,0
61,1,69867,4,9,1,5,3,1,0,0,0,40,1,0
17,1,1.9126e+05,8,5,3,3,2,1,0,1055,0,24,1,1
50,2,30653,11,14,1,10,3,1,0,2407,0,98,1,1
27,5,2.0911e+05,11,14,3,6,2,1,0,0,0,35,1,1
30,1,70377,4,9,2,6,2,1,1,0,0,40,1,1
43,1,4.7798e+05,4,9,1,7,3,2,0,0,0,40,1,1
44,1,1.7092e+05,2,10,1,2,3,1,0,7298,0,40,1,0
35,1,1.9017e+05,2,10,3,5,4,1,1,0,0,40,1,1
25,1,1.9379e+05,2,10,3,1,2,1,1,0,0,40,1,1
24,1,2.7947e+05,2,10,1,8,1,1,1,7298,0,48,1,0
22,1,34918,1,13,3,6,4,1,1,0,0,15,6,1
42,5,97688,2,10,1,2,3,1,0,5178,0,40,1,0
34,1,1.7541e+05,6,12,2,4,5,2,1,0,0,45,1,1
60,1,1.7396e+05,1,13,2,6,4,1,1,0,0,42,1,1
21,1,2.0576e+05,4,9,3,7,2,1,0,0,0,40,1,1
57,4,4.2516e+05,11,14,1,4,3,1,0,15024,0,40,1,0
41,1,2.2053e+05,5,15,1,6,3,1,0,0,0,60,1,0
50,1,1.7661e+05,2,10,2,3,4,1,0,0,0,45,1,1
25,1,3.7199e+05,1,13,3,5,4,1,1,0,0,40,1,1
50,1,1.9388e+05,9,4,1,2,3,1,0,0,0,40,38,1
36,1,2.0035e+05,1,13,1,6,3,1,0,0,0,45,1,1
31,1,1.276e+05,4,9,2,6,4,1,1,0,0,40,1,1
29,5,2.2042e+05,1,13,3,13,4,1,0,0,0,56,1,1
21,1,2.3193e+05,2,10,3,4,2,1,0,0,0,45,1,1
27,1,2.484e+05,1,13,3,1,5,2,1,0,0,40,1,1
65,1,1.111e+05,4,9,1,11,3,1,0,0,0,16,1,1
37,3,57424,1,13,2,4,4,1,1,0,0,60,1,1
39,9,1.5744e+05,11,14,1,15,1,3,1,3464,0,40,42,1
24,1,2.7813e+05,4,9,3,2,2,1,0,0,0,40,1,1
38,1,1.6947e+05,4,9,2,4,4,1,0,0,0,80,1,1
48,1,1.4627e+05,1,13,1,9,3,1,0,7688,0,40,1,0
21,1,1.5372e+05,2,10,3,3,4,3,1,0,0,25,1,1
31,1,2.1746e+05,4,9,1,11,3,1,0,0,0,45,1,0
55,1,2.3864e+05,4,9,1,4,3,1,0,4386,0,40,1,0
24,1,3.033e+05,2,10,1,9,1,3,1,0,0,40,37,1
43,1,1.7332e+05,4,9,2,9,4,1,1,0,0,40,1,1
26,1,1.9395e+05,6,12,3,1,4,1,0,0,0,45,1,1
46,1,83082,6,12,3,6,4,1,1,0,0,33,1,1
35,1,1.9382e+05,6,12,1,9,3,1,0,0,0,40,1,0
41,3,34987,2,10,1,10,3,1,0,0,0,54,1,0
26,1,59306,1,13,3,4,4,1,0,0,0,40,1,1
34,1,1.429e+05,11,14,1,5,3,3,0,7298,0,35,39,0
19,9,8.6035e+05,2,10,3,15,2,2,1,0,0,25,1,1
36,2,2.0561e+05,1,13,2,6,4,2,1,0,0,40,1,0
22,1,1.997e+05,2,10,3,4,2,1,0,0,0,15,1,1
24,1,1.9195e+05,2,10,3,8,4,1,0,0,0,40,1,1
77,2,1.3871e+05,2,10,1,4,3,1,0,0,0,40,1,1
22,1,3.9909e+05,15,3,1,8,6,1,1,0,0,40,13,1
29,1,4.2316e+05,2,10,3,1,4,1,1,0,0,40,1,1
62,1,1.5984e+05,4,9,5,3,4,1,1,0,0,24,1,1
39,2,1.7431e+05,4,9,1,5,3,1,0,0,0,40,1,1
43,1,50356,2,10,1,2,3,1,0,0,1485,50,1,1
35,1,1.8611e+05,4,9,2,11,4,1,0,0,0,45,1,1
29,1,2.0038e+05,3,7,3,5,4,1,1,0,0,40,1,1
76,2,1.7431e+05,11,14,1,2,3,1,0,0,0,10,1,1
63,2,78383,4,9,1,10,3,1,0,0,0,45,1,1
23,9,2.116e+05,7,11,3,15,2,2,1,0,0,15,1,1
43,1,1.8773e+05,2,10,1,6,1,1,1,0,1887,50,1,0
58,2,3.2117e+05,4,9,1,7,3,1,0,0,0,40,1,1
66,1,1.2792e+05,4,9,3,11,4,1,0,2050,0,55,1,1
41,1,2.0657e+05,2,10,3,2,4,2,0,0,0,45,1,1
26,1,2.2456e+05,1,13,3,9,4,1,0,0,0,40,1,1
47,1,1.7869e+05,7,11,3,3,4,1,0,0,0,40,1,1
55,5,98545,13,6,1,9,3,1,0,0,0,40,1,1
53,1,2.4261e+05,4,9,1,11,3,1,0,0,0,40,1,1
17,1,2.7094e+05,15,3,3,3,6,1,0,0,0,48,13,1
30,1,94235,4,9,3,2,6,1,0,0,0,40,1,1
49,1,71195,11,14,3,6,4,1,0,0,0,60,1,1
19,1,1.0411e+05,4,9,3,4,5,2,0,0,0,30,40,1
45,1,2.6119e+05,4,9,1,3,3,2,0,0,0,40,1,1
26,1,94936,6,12,3,4,4,1,0,0,0,40,1,1
38,1,2.9648e+05,7,11,1,2,3,1,0,7298,0,40,1,0
36,6,1.1927e+05,4,9,1,13,3,1,0,7298,0,40,1,0
33,1,85043,4,9,3,10,4,1,0,0,0,20,1,1
22,6,2.9336e+05,2,10,3,13,2,2,1,0,0,40,1,1
43,2,2.419e+05,1,13,3,4,4,1,0,0,0,42,1,1
67,9,36135,3,7,1,15,3,1,0,0,0,8,1,1
30,9,1.5199e+05,7,11,2,15,5,1,1,0,0,40,1,1
56,1,1.0113e+05,6,12,6,3,4,1,0,0,0,25,33,1
31,1,1.5646e+05,1,13,3,6,2,1,0,0,0,25,1,1
33,1,1.1796e+05,1,13,1,5,3,1,0,0,0,40,1,0
26,1,1.9226e+05,4,9,1,3,3,1,0,0,0,40,1,1
33,1,1.1136e+05,1,13,1,5,3,1,0,0,0,40,1,0
46,5,3.2975e+05,3,7,1,11,3,1,0,0,0,30,1,1
59,9,3.7202e+05,1,13,1,15,3,1,0,0,0,40,1,0
38,4,95432,4,9,1,9,3,1,0,0,0,40,1,0
65,1,1.614e+05,3,7,5,3,5,5,0,0,0,40,1,1
40,1,96129,7,11,1,1,3,1,0,0,0,40,1,0
42,1,1.1195e+05,4,9,1,9,1,1,1,0,0,35,1,1
26,2,1.1713e+05,8,5,1,2,3,1,0,0,0,40,14,1
36,1,3.4802e+05,13,6,1,3,1,1,1,0,0,24,1,1
62,1,2.7009e+05,11,14,1,6,3,1,0,0,0,40,1,0
43,1,1.8061e+05,1,13,1,11,3,1,0,0,0,45,1,1
43,1,1.7458e+05,1,13,2,5,4,1,0,0,1564,45,1,0
22,1,4.1044e+05,4,9,6,4,4,1,0,0,0,55,1,1
28,1,92262,4,9,1,2,3,1,0,0,0,40,1,1
56,2,1.8308e+05,2,10,1,4,3,1,0,0,0,45,1,1
22,1,3.6259e+05,6,12,3,4,4,1,1,0,0,15,1,1
57,1,2.1245e+05,1,13,2,5,4,1,1,0,0,45,1,0
39,1,4.8106e+05,4,9,2,4,5,1,1,0,0,40,1,1
26,4,1.8589e+05,2,10,3,9,5,1,1,0,0,15,1,1
17,1,89821,3,7,3,3,2,1,0,0,0,10,1,1
40,6,1.8402e+05,7,11,1,8,3,1,0,0,0,38,1,0
45,1,2.5665e+05,4,9,1,8,3,2,0,0,0,40,1,1
44,1,1.6032e+05,4,9,3,2,4,2,0,0,0,40,1,1
20,5,3.5085e+05,2,10,3,9,2,1,1,0,0,10,1,1
33,1,2.674e+05,4,9,1,2,1,1,1,0,0,40,1,1
23,1,35633,2,10,3,4,4,1,0,0,0,40,1,1
46,2,80914,11,14,2,5,4,1,0,0,0,30,1,1
38,1,1.7293e+05,4,9,1,4,3,1,0,0,0,50,1,1
